,HospID,surgyear,total surgery count
12286,993109,2016,921
7893,663199,2013,919
1709,221364,2019,918
4619,434530,2019,918
11442,927399,2012,918
5466,491146,2016,917
9980,812640,2010,916
10176,828397,2016,916
6938,597303,2018,915
9921,808406,2011,914
11249,909233,2019,914
4615,434530,2015,913
10339,837313,2019,913
11013,888137,2013,913
4291,412952,2011,912
10177,828397,2017,912
750,167126,2010,911
3086,333746,2016,911
10308,835776,2018,909
756,167126,2016,908
4616,434530,2016,907
10179,828397,2019,907
11761,947167,2011,906
6939,597303,2019,905
1619,216249,2019,903
7353,625540,2013,903
9928,808406,2018,903
11240,909233,2010,902
4612,434530,2012,900
10309,835776,2019,900
2232,259348,2012,899
10335,837313,2015,899
10806,873980,2016,894
10619,861281,2019,893
9028,743802,2018,892
11584,935752,2014,892
9461,772675,2011,891
12285,993109,2015,889
11580,935752,2010,888
6997,602900,2017,887
9158,750089,2018,886
757,167126,2017,885
1067,182883,2017,885
1218,190310,2018,885
11950,962319,2010,884
9193,753402,2013,883
10805,873980,2015,883
7895,663199,2015,882
4470,424257,2010,881
7593,642497,2013,881
10807,873980,2017,881
9929,808406,2019,880
7894,663199,2014,877
751,167126,2011,876
7182,613816,2012,876
9027,743802,2017,876
966,179019,2016,875
1386,199251,2016,875
7183,613816,2013,874
10617,861281,2017,874
9485,775729,2015,872
11492,928212,2012,872
7359,625540,2019,870
11585,935752,2015,870
3084,333746,2014,869
1387,199251,2017,867
7184,613816,2014,867
10306,835776,2016,866
8838,729771,2018,865
11444,927399,2014,865
11441,927399,2011,864
11954,962319,2014,864
2280,262629,2010,863
7185,613816,2015,862
755,167126,2015,860
3102,335137,2012,859
8249,691376,2019,859
9993,813465,2013,859
9486,775729,2016,858
3646,369971,2016,856
3085,333746,2015,855
2559,283639,2019,853
7357,625540,2017,852
10175,828397,2015,852
4293,412952,2013,851
8319,696808,2019,851
10618,861281,2018,849
10809,873980,2019,849
4472,424257,2012,848
4634,435785,2014,848
4471,424257,2011,846
6568,572677,2018,846
12279,992708,2019,846
2623,291124,2013,845
9354,762756,2014,844
521,152363,2011,843
1380,199251,2010,843
1708,221364,2018,843
3644,369971,2014,843
5793,518137,2013,843
7594,642497,2014,842
752,167126,2012,841
9358,762756,2018,841
6999,602900,2019,839
8453,704007,2013,839
3072,331649,2012,838
9192,753402,2012,838
10616,861281,2016,838
2624,291124,2014,837
7599,642497,2019,837
9157,750089,2017,837
8760,724136,2010,836
7449,634952,2019,835
8317,696808,2017,835
1677,219387,2017,834
2558,283639,2018,833
9156,750089,2016,832
9998,813465,2018,832
1707,221364,2017,831
5779,517853,2019,831
8839,729771,2019,831
4617,434530,2017,830
8318,696808,2018,829
9190,753402,2010,829
11583,935752,2013,829
11778,947246,2018,828
1073,183144,2013,826
6974,601236,2014,825
7352,625540,2012,825
9191,753402,2011,825
9460,772675,2010,825
10808,873980,2018,825
9487,775729,2017,824
10174,828397,2014,824
8762,724136,2012,823
1246,192850,2016,822
5777,517853,2017,822
4292,412952,2012,821
7351,625540,2011,821
8454,704007,2014,821
11779,947246,2019,821
3647,369971,2017,820
4635,435785,2015,820
12278,992708,2018,820
1063,182883,2013,819
1066,182883,2016,819
1383,199251,2013,819
4633,435785,2013,819
4926,455644,2016,819
5613,504879,2013,819
10560,856235,2010,819
6567,572677,2017,817
9994,813465,2014,817
3643,369971,2013,816
3645,369971,2015,816
7355,625540,2015,816
7592,642497,2012,816
11777,947246,2017,816
6970,601236,2010,814
1946,238328,2016,813
9159,750089,2019,813
11775,947246,2015,813
1945,238328,2015,811
2231,259348,2011,811
2622,291124,2012,811
7591,642497,2011,811
7350,625540,2010,810
8848,730871,2018,810
4168,406108,2018,809
9924,808406,2014,808
9353,762756,2013,807
967,179019,2017,806
9926,808406,2016,806
8455,704007,2015,804
9350,762756,2010,804
9542,779854,2012,804
10919,884166,2019,804
6973,601236,2013,803
9351,762756,2011,803
7448,634952,2018,802
6530,570819,2010,800
8248,691376,2018,800
11193,904916,2013,800
11581,935752,2011,800
965,179019,2015,799
2620,291124,2010,799
9544,779854,2014,799
10305,835776,2015,799
2078,246422,2018,797
9999,813465,2019,797
7358,625540,2018,796
1248,192850,2018,795
2557,283639,2017,795
3519,360975,2019,795
6975,601236,2015,795
9029,743802,2019,795
5774,517853,2014,793
7598,642497,2018,792
2077,246422,2017,791
7898,663199,2018,791
9479,775049,2019,790
11776,947246,2016,790
166,113333,2016,789
5778,517853,2018,789
2621,291124,2011,788
3518,360975,2018,788
5773,517853,2013,788
9992,813465,2012,787
9543,779854,2013,786
1384,199251,2014,785
9541,779854,2011,785
1068,182883,2018,784
5612,504879,2012,784
8763,724136,2013,784
5468,491146,2018,783
1705,221364,2015,782
9545,779854,2015,782
11918,960603,2018,782
2076,246422,2016,781
2556,283639,2016,781
1385,199251,2015,780
3101,335137,2011,780
6569,572677,2019,780
8761,724136,2011,780
10804,873980,2014,780
1381,199251,2011,779
2627,291124,2017,779
3960,394396,2010,778
9540,779854,2010,778
9927,808406,2017,778
5776,517853,2016,776
6971,601236,2011,776
6977,601236,2017,776
8830,729771,2010,776
5770,517853,2010,775
5790,518137,2010,775
7447,634952,2017,775
10146,824948,2016,775
3642,369971,2012,774
6976,601236,2016,774
9546,779854,2016,774
11445,927399,2015,774
12276,992708,2016,774
969,179019,2019,773
2626,291124,2016,773
1072,183144,2012,772
