,surgid,surgyear,total cardiac surgery
3350,186940,2010,324.00
4139,207845,2019,324.00
5693,247717,2013,324.00
8275,314417,2015,324.00
12094,423846,2014,324.00
19304,624090,2014,324.00
28025,854373,2015,324.00
28441,865389,2011,324.00
31271,934943,2011,324.00
78,101732,2018,323.00
8276,314417,2016,323.00
11114,397601,2014,323.00
13525,464560,2015,323.00
14980,505095,2010,323.00
21438,683287,2018,323.00
21874,696392,2014,323.00
32149,955960,2019,323.00
9916,363514,2016,322.00
10317,374373,2017,322.00
15133,509439,2013,322.00
15137,509439,2017,322.00
17158,565882,2018,322.00
20942,668023,2012,322.00
29934,902958,2014,322.00
30504,919865,2014,322.00
31368,937146,2018,322.00
33581,997435,2011,322.00
6178,259953,2018,321.00
15543,517623,2013,321.00
15548,517623,2018,321.00
17646,577639,2016,321.00
19495,628003,2015,321.00
21759,692907,2019,321.00
31016,928619,2016,321.00
9675,357631,2015,320.00
11154,398864,2014,320.00
21879,696392,2019,320.00
22069,700997,2019,320.00
29719,897323,2019,320.00
32037,953002,2017,320.00
32254,957518,2014,320.00
32259,957518,2019,320.00
33269,990390,2019,320.00
734,123508,2014,319.00
8526,324249,2016,319.00
11892,418237,2012,319.00
21286,677591,2016,319.00
22329,710040,2019,319.00
22602,720252,2012,319.00
22700,723357,2010,319.00
28021,854373,2011,319.00
29509,889794,2019,319.00
6462,268179,2012,318.00
7535,295736,2015,318.00
11512,409039,2012,318.00
21505,684817,2015,318.00
21693,691029,2013,318.00
26198,812472,2018,318.00
3089,179700,2019,317.00
13960,477116,2010,317.00
14839,500272,2019,317.00
21052,671896,2012,317.00
31017,928619,2017,317.00
33582,997435,2012,317.00
2167,157153,2017,316.00
3062,179236,2012,316.00
3923,201503,2013,316.00
6143,258847,2013,316.00
11893,418237,2013,316.00
12329,430848,2019,316.00
15131,509439,2011,316.00
21050,671896,2010,316.00
23961,758230,2011,316.00
24113,761543,2013,316.00
26591,821558,2011,316.00
33099,986174,2019,316.00
33585,997435,2015,316.00
539,117647,2019,315.00
2531,164406,2011,315.00
8894,333926,2014,315.00
14838,500272,2018,315.00
20841,665800,2011,315.00
22165,705469,2015,315.00
27919,851599,2019,315.00
30475,919726,2015,315.00
31367,937146,2017,315.00
32257,957518,2017,315.00
4006,204500,2016,314.00
5803,252758,2013,314.00
8786,331975,2016,314.00
