,SiteID,total,count_First,count_Reop,Complics_First,Complics_Reop,PredMM_First_avg,PredMM_Reoperation_avg,total_year_avg,Year_avg_Firstop,Year_avg_reop,Complics_First_rate,Complics_Reop_rate,observe/expected_First,observe/expected_Reop,log_First,log_Reoperation
20,118278,1741,1611,130.0,644,54.0,14.561402855369307,21.199384615384602,260.9,244.4,16.5,39.975170701427686,41.53846153846154,2.745282930393442,1.959418270486808,1.45695484185017,0.9704253977819512
21,119112,70,68,2.0,14,1.0,15.036470588235295,22.025,72.8,69.6,3.2,20.588235294117645,50.0,1.3692199358422656,2.2701475595913734,0.45335420325310616,1.1827860757416735
22,119250,4670,4403,267.0,1637,111.0,12.317635702929824,18.14494382022471,204.2,181.6,22.6,37.17919600272541,41.57303370786517,3.0183711305800442,2.291163539538053,1.5937702065699022,1.1960804395504507
23,119793,2609,2444,165.0,891,75.0,13.755855155482806,20.65115151515151,292.3,275.5,16.8,36.45662847790507,45.45454545454545,2.650262602058164,2.201065902847886,1.4061353166256314,1.138202342089277
24,120660,728,696,32.0,404,19.0,17.01653735632185,27.0084375,78.0,72.0,6.0,58.04597701149425,59.375,3.411150917253413,2.198387078112164,1.7702585845486858,1.1364454292839854
25,124304,2042,1816,226.0,640,79.0,12.232120044052857,17.738893805309743,232.1,221.9,10.2,35.24229074889868,34.95575221238938,2.8811269528075925,1.9705711413597926,1.5266332322265808,0.978613834446205
26,125220,2923,2755,168.0,1082,58.0,12.815981851179695,17.854166666666668,234.1,215.4,18.7,39.27404718693285,34.523809523809526,3.064458708118233,1.9336556092682113,1.615632265407601,0.9513308687321929
27,126441,78,72,6.0,61,4.0,12.256527777777775,25.745000000000005,46.5,43.6,2.9,84.72222222222221,66.66666666666666,6.912416286106044,2.5894995792063176,2.789190103470168,1.3726733240308358
28,127363,2321,2219,102.0,874,42.0,11.883501577287086,17.613137254901947,221.7,206.2,15.5,39.38711131140153,41.17647058823529,3.314436494600383,2.3378271566455537,1.7287636107450872,1.2251682705590046
29,127370,376,366,10.0,127,4.0,13.78980874316939,24.616000000000003,99.8,91.0,8.8,34.69945355191257,40.0,2.5163114440655683,1.6249593760155994,1.33131049574727,0.7004036512159044
30,128031,2341,2154,187.0,673,62.0,12.975329619312927,15.837967914438497,77.7,71.3,6.4,31.24419684308264,33.155080213903744,2.4079694127059175,2.0933923084714867,1.2678170663427333,1.0658427026350084
31,128945,91,84,7.0,32,2.0,11.386785714285717,17.63142857142857,62.8,56.0,6.8,38.095238095238095,28.57142857142857,3.345565557402586,1.6204829039053636,1.7422501145711367,0.6964238003033592
32,128987,465,436,29.0,111,18.0,10.982293577981647,14.061034482758618,179.7,173.7,6.0,25.458715596330272,62.06896551724138,2.3181601744258904,4.414253132893544,1.212980253517091,2.142169362535309
33,129434,2217,2062,155.0,577,42.0,12.110552861299697,17.99077419354839,166.5,156.6,9.9,27.982541222114456,27.09677419354839,2.31059155949313,1.5061483125759798,1.2082622588658425,0.5908638412466041
34,129856,998,910,88.0,413,41.0,16.573857142857126,16.70329545454545,299.8,284.9,14.9,45.38461538461539,46.590909090909086,2.738325484129981,2.7893243712114515,1.4532939390836588,1.4799157154802494
35,130040,340,303,37.0,134,15.0,15.076996699669976,21.905135135135136,17.0,13.2,3.8,44.224422442244226,40.54054054054054,2.9332381855076126,1.8507322730693776,1.5524942259187835,0.8880962100377063
36,130690,777,713,64.0,197,27.0,13.138345021037873,20.887968749999995,49.0,44.2,4.8,27.629733520336607,42.1875,2.10298431622052,2.019703328022262,1.0724380906806044,1.014143392668028
37,131740,628,560,68.0,228,26.0,13.387910714285711,16.831176470588243,179.1,169.8,9.3,40.714285714285715,38.23529411764706,3.0411231881641627,2.2716946842344377,1.6046042574584618,1.1837689496578914
38,132353,1797,1737,60.0,453,16.0,11.600650546919974,18.34183333333334,107.9,101.5,6.4,26.07944732297064,26.666666666666668,2.248102140262716,1.4538713869024356,1.168707584448043,0.5398996504921063
39,132576,398,374,24.0,125,9.0,13.349064171123,17.338333333333335,113.2,103.1,10.1,33.42245989304813,37.5,2.503730558532212,2.1628376429875997,1.3240793135544835,1.1129253710567486
40,132944,1665,1566,99.0,561,39.0,12.548314176245206,19.137878787878787,59.75,55.25,4.5,35.82375478927203,39.39393939393939,2.854865943433962,2.0584276779352386,1.513423002231278,1.0415427610142436
41,134302,2998,2849,149.0,1152,78.0,12.107795717795705,17.524630872483225,137.1,126.9,10.2,40.43524043524043,52.348993288590606,3.3396037873194233,2.9871666724112176,1.739676950610588,1.5787777367289482
42,134373,85,66,19.0,25,11.0,10.876060606060602,13.540526315789476,21.2,18.0,3.2,37.878787878787875,57.89473684210527,3.4827672675601136,4.2756636996151896,1.8002340694922192,2.096148382998142
43,135070,381,359,22.0,168,9.0,12.380779944289706,16.65681818181818,92.6,87.9,4.7,46.796657381615596,40.909090909090914,3.779782662496902,2.4559967253377,1.918303281866359,1.296308637115987
44,135691,490,442,48.0,115,15.0,19.183665158371042,25.50041666666667,150.5,141.0,9.5,26.018099547511316,31.25,1.3562632235664298,1.225470172056012,0.4396372039023392,0.2933353694348021
45,135873,1791,1698,93.0,661,46.0,11.143898704358053,15.406344086021505,120.4,115.9,4.5,38.928150765606595,49.46236559139785,3.493225467886112,3.210519336399612,1.8045597635181807,1.6828066878291426
46,136311,1079,1015,64.0,375,26.0,11.192985221674887,16.517812499999998,73.9,67.4,6.5,36.94581280788177,40.625,3.30080064220377,2.4594661066651535,1.7228160070278085,1.298345173750802
47,138114,1132,1031,101.0,453,41.0,13.78704170708051,15.50366336633663,100.1,95.8,4.3,43.93792434529583,40.5940594059406,3.1869000818885573,2.6183527368172337,1.6721537873543537,1.388659466029229
48,140612,239,221,18.0,93,4.0,13.01203619909502,14.16611111111111,86.2,83.3,2.9,42.081447963800905,22.22222222222222,3.234040185557403,1.5686889681948313,1.693337605572299,0.6495593303013478
49,141344,1371,1269,102.0,1044,92.0,16.239338061465716,21.976764705882346,30.8,29.6,1.2,82.26950354609929,90.19607843137256,5.066062621192447,4.104156350512798,2.340864910197953,2.0370856924003413
50,141799,106,90,16.0,20,6.0,12.815444444444449,15.723125,345.1,316.2,28.9,22.22222222222222,37.5,1.7340188487848858,2.3850220614540687,0.7941195807400747,1.2540026112216358
51,144176,252,245,7.0,72,5.0,9.93628571428572,13.715714285714286,113.1,103.7,9.4,29.38775510204082,71.42857142857143,2.9576197733313054,5.207790855119258,1.5644365938878806,2.380671511034083
52,144593,926,879,47.0,255,14.0,14.228748577929458,18.96340425531915,76.0,72.4,3.6,29.01023890784983,29.78723404255319,2.0388468282339516,1.5707746162822007,1.0277533945561645,0.6514761893534613
53,144631,1505,1410,95.0,582,41.0,14.809290780141854,19.431894736842107,171.7,154.9,16.8,41.27659574468085,43.15789473684211,2.78720948609029,2.220982324230917,1.4788214391786236,1.1511979111893178
54,145224,1204,1159,45.0,454,20.0,10.540207075064714,13.228000000000002,49.5,48.0,1.5,39.17169974115617,44.44444444444444,3.7164070366156126,3.3598763565500787,1.893908520436306,1.7484081428033844
55,145269,739,674,65.0,264,28.0,11.977462908011862,17.823076923076922,134.3,126.9,7.4,39.16913946587537,43.07692307692308,3.2702367577089038,2.4169184290030215,1.7093950873465424,1.2731687829675071
56,145570,1001,958,43.0,376,18.0,13.749519832985397,16.93953488372093,62.2,60.2,2.0,39.24843423799583,41.86046511627907,2.854531264709185,2.471169686985173,1.5132538637672766,1.3051940791275611
57,147551,1065,1002,63.0,419,29.0,13.630149700598814,16.039841269841272,31.0,29.5,1.5,41.81636726546906,46.03174603174603,3.0679316210028085,2.8698380025927497,1.6172663279713835,1.5209693015517307
58,147711,862,833,29.0,300,12.0,12.804501800720317,17.40551724137931,85.0,79.9,5.1,36.014405762304925,41.37931034482759,2.8126362370677267,2.3773674617640066,1.4919229785631885,1.249364913079219
59,149864,308,296,12.0,135,7.0,11.937195945945936,14.333333333333336,80.6,77.5,3.1,45.608108108108105,58.333333333333336,3.820671815611551,4.069767441860464,1.9338263397880793,2.0249463571302306
60,151721,3451,3162,289.0,1207,112.0,13.334086021505408,18.119204152249136,373.2,350.5,22.7,38.17204301075269,38.75432525951557,2.862741619424703,2.13885361265743,1.5173974638418726,1.0968377449993492
61,152067,1131,1037,94.0,404,47.0,16.242835101253576,23.27393617021276,30.6,29.9,0.7,38.95853423336548,50.0,2.3985058021280268,2.148325905610788,1.2621359295086345,1.1032128698330286
62,155656,760,724,36.0,251,15.0,12.015248618784515,17.866944444444442,72.1,64.6,7.5,34.668508287292816,41.66666666666667,2.885375857565896,2.3320532951913067,1.5287592608213516,1.221600759305825
63,157466,1108,1034,74.0,397,36.0,11.638442940038678,15.920405405405408,18.625,17.5,1.125,38.39458413926499,48.64864864864865,3.298945085444342,3.0557418237685785,1.7220047628629802,1.6115226568216086
64,157650,1717,1549,168.0,806,89.0,14.57417688831504,19.77857142857144,75.4,71.4,4.0,52.033570045190444,52.976190476190474,3.570257891333044,2.6784639460695785,1.836028288570747,1.4214058765403974
65,158416,99,96,3.0,36,1.0,12.153229166666664,21.84,202.2,193.0,9.2,37.5,33.33333333333333,3.0855996777262567,1.526251526251526,1.6255509003978386,0.6099927379084404
66,158924,1343,1269,74.0,380,13.0,11.841245074862085,15.902297297297292,140.4,132.8,7.6,29.944838455476752,17.56756756756757,2.528858938917411,1.1047188490529165,1.3384865649568243,0.14367925044273486
67,159760,622,602,20.0,236,7.0,15.660149501661126,20.451999999999998,112.7,104.5,8.2,39.202657807308974,35.0,2.5033386688390564,1.7113240758849992,1.323853481918302,0.7751129909201104
68,159839,1365,1283,82.0,340,27.0,14.759314107560412,20.209390243902437,311.3,294.2,17.1,26.500389711613405,32.926829268292686,1.7955027935911103,1.6292836582849077,0.8443878976680714,0.7042377989372155
69,160432,62,59,3.0,22,1.0,16.030508474576266,12.026666666666666,169.4,164.5,4.9,37.28813559322034,33.33333333333333,2.326073165574118,2.7716186252771617,1.2178964768415805,1.4707287562940685
70,160612,850,799,51.0,267,23.0,12.645844806007506,18.5221568627451,236.2,226.3,9.9,33.41677096370463,45.09803921568628,2.64250996879463,2.434815747964812,1.4019089141447412,1.283812602059163
71,160991,806,775,31.0,276,14.0,15.08034838709677,21.489999999999995,60.1,56.4,3.7,35.612903225806456,45.16129032258064,2.361543799364609,2.1015025743406537,1.2397302932865428,1.0714212237923948
72,161027,3732,3505,227.0,1856,143.0,12.068930099857337,17.35189427312776,75.7,71.1,4.6,52.95292439372326,62.99559471365639,4.387540896798234,3.630473637176049,2.1334125730144677,1.8601577767141473
73,162055,67,66,1.0,19,0.0,18.347575757575758,56.12,132.4,125.3,7.1,28.78787878787879,0.0,1.5690290187788,0.0,0.649872034817879,0.0
74,162176,306,299,7.0,58,2.0,12.316120401337798,18.845714285714283,144.66666666666666,132.44444444444446,12.222222222222221,19.39799331103679,28.57142857142857,1.5750084181484412,1.516070345664039,0.6553595395894135,0.6003366961119825
75,162441,721,646,75.0,253,29.0,11.38736842105263,15.423199999999998,127.4,120.4,7.0,39.1640866873065,38.666666666666664,3.4392570117342562,2.5070456628110036,1.7820969308399226,1.325988273360143
76,162890,149,140,9.0,81,3.0,18.68300000000001,25.215555555555554,58.0,56.3,1.7,57.85714285714286,33.33333333333333,3.0967801133192117,1.321935313298669,1.6307689481768988,0.4026515826954597
77,163950,754,714,40.0,309,21.0,12.628529411764712,17.68925,264.9,248.1,16.8,43.27731092436975,52.5,3.426947787289682,2.9679042356233305,1.7769242112349448,1.569444541749736
78,163978,2022,1930,92.0,630,23.0,11.83366839378237,17.829021739130436,94.2,86.7,7.5,32.64248704663213,25.0,2.7584419269161793,1.4022081730446816,1.4638536079381252,0.4877005490093512
79,164242,1404,1328,76.0,586,41.0,13.492974397590366,20.99157894736842,156.2,146.4,9.8,44.126506024096386,53.94736842105263,3.2703320056678304,2.5699528633035804,1.7094371062482554,1.3617418985235075
