,surgid,total,count_First,count_Reop,Mortality_First,Mortality_Reop,PredMort_First_avg,PredMort_Reoperation_avg,total_year_avg,Year_avg_Firstop,Year_avg_reop,Mortality_First_rate,Mortality_Reop_rate,observe/expected_First,observe/expected_Reop,log_First,log_Reoperation
2933,919757.0,420,400.0,20.0,4.0,0.0,1.8961749999999997,2.7415,73.83333333333333,67.16666666666667,6.666666666666668,1.0,0.0,0.527377483618337,0.0,-0.9230921182347793,0.0
2934,919809.0,120,119.0,1.0,0.0,0.0,1.5631092436974785,0.43,66.33333333333333,58.66666666666666,7.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0
2935,919865.0,451,396.0,55.0,7.0,4.0,2.5277020202020184,4.6292727272727285,1.0,1.0,0.0,1.7676767676767675,7.2727272727272725,0.6993216579917484,1.5710302030556533,-0.5159719087421217,0.6517109167108839
2936,920119.0,433,405.0,28.0,6.0,0.0,1.7193580246913573,2.3024999999999998,41.0,38.0,3.0,1.4814814814814816,0.0,0.8616480454950173,0.0,-0.21482939808688017,0.0
2937,920356.0,294,285.0,9.0,1.0,0.0,1.4542105263157892,1.9066666666666667,141.66666666666666,128.83333333333334,12.833333333333336,0.3508771929824561,0.0,0.24128362890577879,0.0,-2.0511980628715607,0.0
2938,920607.0,3,3.0,0.0,0.0,0.0,1.2366666666666666,0.0,1.75,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2939,921178.0,466,400.0,66.0,6.0,2.0,1.9194999999999995,4.032424242424242,39.5,38.16666666666666,1.3333333333333333,1.5,3.0303030303030303,0.781453503516541,0.7514841812579846,-0.3557680594637059,-0.4121853591567067
2940,921185.0,225,216.0,9.0,6.0,0.0,1.5993518518518526,3.4511111111111115,25.83333333333333,24.83333333333333,1.0,2.7777777777777777,0.0,1.7368146818734433,0.0,0.7964438266993203,0.0
2941,921206.0,223,214.0,9.0,4.0,0.0,1.4682242990654204,1.1911111111111112,1.0,1.0,0.0,1.8691588785046727,0.0,1.273074474856779,0.0,0.34831681936789066,0.0
2942,921298.0,136,133.0,3.0,2.0,0.0,0.8767669172932329,0.5333333333333333,37.75,37.0,0.75,1.5037593984962405,0.0,1.7151187719749597,0.0,0.7783084864890963,0.0
2943,921393.0,474,435.0,39.0,6.0,1.0,1.5557931034482761,2.12948717948718,66.33333333333333,62.16666666666666,4.166666666666667,1.3793103448275863,2.564102564102564,0.8865641207500331,1.204093919325707,-0.17370311707108363,0.2679479266997104
2944,921443.0,589,568.0,21.0,1.0,0.0,1.2086795774647887,2.2252380952380952,77.83333333333333,73.16666666666667,4.666666666666667,0.17605633802816903,0.0,0.14566005855534356,0.0,-2.779322764663081,0.0
2945,921517.0,1122,1076.0,46.0,10.0,0.0,1.3179460966542744,1.941521739130435,20.5,19.0,1.5,0.929368029739777,0.0,0.705163915352124,0.0,-0.5039694439310622,0.0
2946,921552.0,518,473.0,45.0,9.0,1.0,2.0299154334038056,4.198888888888889,17.0,15.666666666666664,1.3333333333333333,1.9027484143763214,2.2222222222222223,0.9373535385096078,0.5292405398253507,-0.09333480788243131,-0.9180045185978744
2947,921583.0,8,7.0,1.0,0.0,1.0,1.3957142857142857,5.32,15.0,14.4,0.6,0.0,100.0,0.0,18.796992481203006,0.0,4.23242994404826
2948,921702.0,143,139.0,4.0,2.0,0.0,1.513525179856115,4.359999999999999,66.66666666666667,62.16666666666666,4.5,1.4388489208633095,0.0,0.9506607091928893,0.0,-0.07299755979994976,0.0
2949,921743.0,486,460.0,26.0,5.0,0.0,1.4815434782608683,1.8130769230769228,128.33333333333334,120.66666666666669,7.666666666666668,1.0869565217391304,0.0,0.7336649498906845,0.0,-0.44680673139413063,0.0
2950,921787.0,254,242.0,12.0,4.0,0.0,1.8809504132231412,1.4833333333333334,80.83333333333333,77.66666666666667,3.1666666666666665,1.6528925619834711,0.0,0.8787539269316107,0.0,-0.18646886364432078,0.0
2951,921826.0,252,239.0,13.0,10.0,1.0,1.8212133891213396,4.982307692307692,22.83333333333333,22.16666666666667,0.6666666666666666,4.184100418410042,7.6923076923076925,2.2974245870379297,1.5439246564767641,1.2000175058268132,0.6266023508057881
2952,921962.0,494,472.0,22.0,9.0,0.0,1.886016949152543,3.408636363636364,80.66666666666667,77.0,3.6666666666666665,1.9067796610169492,0.0,1.0110087620759378,0.0,0.01579550065212992,0.0
2953,922212.0,981,905.0,76.0,12.0,4.0,1.483657458563538,2.9831578947368427,87.83333333333331,82.5,5.333333333333333,1.3259668508287292,5.263157894736842,0.8937149496168184,1.7642907551164426,-0.16211333769562683,0.8190883366314304
2954,922499.0,578,547.0,31.0,4.0,1.0,1.3607312614259597,3.9270967741935485,5.2,5.2,0.0,0.7312614259597806,3.225806451612903,0.537403267411866,0.8214227041235419,-0.8959230019237687,-0.2838032709283659
2955,923355.0,32,31.0,1.0,0.0,0.0,1.6725806451612901,1.67,79.33333333333333,69.0,10.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0
2956,923480.0,667,639.0,28.0,2.0,0.0,1.393270735524257,2.592142857142857,21.5,20.33333333333333,1.1666666666666667,0.3129890453834116,0.0,0.22464337863641465,0.0,-2.154291555835665,0.0
2957,923677.0,725,663.0,62.0,8.0,0.0,2.114328808446454,4.845806451612906,52.83333333333334,49.83333333333334,3.0,1.206636500754148,0.0,0.5706948209445003,0.0,-0.8092086242710875,0.0
2958,923710.0,213,193.0,20.0,2.0,0.0,2.1562694300518137,3.9585,23.83333333333333,23.16666666666667,0.6666666666666666,1.0362694300518136,0.0,0.4805843906189927,0.0,-1.0571383043935416,0.0
2959,923724.0,592,584.0,8.0,9.0,0.0,1.3381506849315048,1.1524999999999999,24.33333333333333,23.16666666666667,1.1666666666666667,1.5410958904109588,0.0,1.1516609510160225,0.0,0.20371604986809236,0.0
2960,923726.0,186,183.0,3.0,0.0,0.0,1.2910382513661205,2.1233333333333335,32.5,30.66666666666667,1.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
2961,924034.0,129,122.0,7.0,0.0,0.0,2.428524590163933,2.801428571428571,24.16666666666667,22.66666666666667,1.5,0.0,0.0,0.0,0.0,0.0,0.0
2962,924138.0,788,751.0,37.0,9.0,4.0,1.7453262316910774,3.1270270270270273,39.16666666666666,37.333333333333336,1.8333333333333333,1.1984021304926764,10.81081081081081,0.6866350305934057,3.4572169403630073,-0.5423846326195976,1.789611135554597
2963,924302.0,432,388.0,44.0,5.0,0.0,1.77971649484536,2.7354545454545462,4.0,3.5,0.5,1.2886597938144329,0.0,0.7240815026139344,0.0,-0.46577599868509756,0.0
2964,924348.0,265,239.0,26.0,5.0,0.0,1.4802092050209208,2.765,37.16666666666666,35.5,1.6666666666666667,2.092050209205021,0.0,1.4133476552562396,0.0,0.49911638345113735,0.0
