,surgid,total_year_avg,total_year_count,num_of_years,Year_avg_Firstop,Year_sum_Firstop,Year_avg_reop,Year_sum_reop,Mortality,Mortality_reop,Complics,Complics_reop,firstop/total,reop/total,mortalty_rate,mortalty_reop_rate,Complics_reop_rate
83,129669.0,14.666666666666666,44.0,3,13.666666666666666,41.0,1.0,3.0,4,0.0,23,2.0,93.18181818181817,6.8181818181818175,9.090909090909092,0.0,66.66666666666666
84,130134.0,108.3,1083.0,10,102.1,1021.0,6.2,62.0,8,1.0,279,16.0,94.27516158818098,5.724838411819022,0.7386888273314866,1.6129032258064515,25.806451612903224
85,130277.0,10.2,102.0,10,9.5,95.0,0.7,7.0,4,0.0,53,4.0,93.13725490196079,6.862745098039216,3.9215686274509802,0.0,57.14285714285714
86,130612.0,53.9,539.0,10,50.4,504.0,3.5,35.0,1,0.0,168,9.0,93.5064935064935,6.493506493506493,0.1855287569573284,0.0,25.71428571428571
87,130707.0,88.2,882.0,10,83.1,831.0,5.1,51.0,12,2.0,309,23.0,94.21768707482994,5.782312925170068,1.3605442176870748,3.9215686274509802,45.09803921568628
88,131172.0,17.8,178.0,10,16.7,167.0,1.1,11.0,3,1.0,68,3.0,93.82022471910112,6.179775280898876,1.6853932584269662,9.090909090909092,27.27272727272727
89,131427.0,53.6,536.0,10,48.9,489.0,4.7,47.0,14,1.0,189,10.0,91.23134328358209,8.768656716417912,2.6119402985074625,2.127659574468085,21.27659574468085
90,131628.0,7.0,7.0,1,7.0,7.0,0.0,0.0,0,0.0,2,0.0,100.0,0.0,0.0,0.0,0.0
91,131800.0,31.0,310.0,10,29.4,294.0,1.6,16.0,2,0.0,79,3.0,94.83870967741936,5.161290322580645,0.6451612903225806,0.0,18.75
92,131942.0,106.14285714285714,743.0,7,101.57142857142857,711.0,4.571428571428571,32.0,4,2.0,290,12.0,95.69313593539704,4.306864064602961,0.5383580080753702,6.25,37.5
93,132750.0,41.2,412.0,10,37.0,370.0,4.2,42.0,4,0.0,132,15.0,89.80582524271846,10.194174757281553,0.9708737864077669,0.0,35.714285714285715
94,133310.0,34.7,347.0,10,30.7,307.0,4.0,40.0,4,0.0,180,25.0,88.47262247838617,11.527377521613833,1.1527377521613833,0.0,62.5
95,133512.0,3.0,12.0,4,3.0,12.0,0.0,0.0,0,0.0,8,0.0,100.0,0.0,0.0,0.0,0.0
96,134414.0,59.5,595.0,10,56.9,569.0,2.6,26.0,10,1.0,233,10.0,95.63025210084034,4.369747899159663,1.680672268907563,3.8461538461538463,38.46153846153847
97,134657.0,69.3,693.0,10,65.5,655.0,3.8,38.0,6,2.0,204,11.0,94.51659451659452,5.483405483405483,0.8658008658008658,5.263157894736842,28.947368421052634
98,134752.0,48.7,487.0,10,45.9,459.0,2.8,28.0,4,0.0,204,13.0,94.25051334702259,5.749486652977413,0.8213552361396305,0.0,46.42857142857143
99,136124.0,54.0,486.0,9,48.22222222222222,434.0,5.777777777777778,52.0,3,0.0,206,29.0,89.30041152263375,10.699588477366255,0.6172839506172839,0.0,55.769230769230774
100,137687.0,63.2,632.0,10,60.0,600.0,3.2,32.0,4,1.0,229,19.0,94.9367088607595,5.063291139240507,0.6329113924050633,3.125,59.375
101,138369.0,11.833333333333334,71.0,6,11.0,66.0,0.8333333333333334,5.0,1,0.0,34,4.0,92.95774647887323,7.042253521126761,1.4084507042253522,0.0,80.0
102,138386.0,39.2,392.0,10,37.7,377.0,1.5,15.0,3,0.0,176,5.0,96.1734693877551,3.826530612244898,0.7653061224489796,0.0,33.33333333333333
103,138447.0,139.5,1395.0,10,132.7,1327.0,6.8,68.0,2,0.0,655,37.0,95.12544802867383,4.874551971326166,0.14336917562724014,0.0,54.41176470588235
104,138526.0,41.0,205.0,5,33.6,168.0,7.4,37.0,1,0.0,60,13.0,81.95121951219512,18.048780487804876,0.4878048780487805,0.0,35.13513513513514
105,140070.0,4.25,17.0,4,3.25,13.0,1.0,4.0,0,0.0,12,3.0,76.47058823529412,23.52941176470588,0.0,0.0,75.0
106,140220.0,54.125,433.0,8,50.5,404.0,3.625,29.0,17,1.0,240,18.0,93.30254041570439,6.697459584295612,3.9260969976905313,3.4482758620689653,62.06896551724138
107,140478.0,199.1,1991.0,10,175.6,1756.0,23.5,235.0,21,5.0,788,104.0,88.19688598694123,11.803114013058764,1.054746358613762,2.127659574468085,44.25531914893617
108,140779.0,14.0,70.0,5,14.0,70.0,0.0,0.0,0,0.0,22,0.0,100.0,0.0,0.0,0.0,0.0
109,141082.0,56.8,568.0,10,53.4,534.0,3.4,34.0,2,0.0,174,20.0,94.01408450704226,5.985915492957746,0.35211267605633806,0.0,58.82352941176471
110,141718.0,339.5,3395.0,10,312.7,3127.0,26.8,268.0,46,12.0,1227,103.0,92.1060382916053,7.893961708394698,1.3549337260677468,4.477611940298507,38.43283582089552
111,142167.0,120.9,1209.0,10,112.4,1124.0,8.5,85.0,13,3.0,421,32.0,92.96939619520265,7.030603804797353,1.0752688172043012,3.5294117647058822,37.64705882352941
112,143059.0,49.5,297.0,6,48.5,291.0,1.0,6.0,7,0.0,102,2.0,97.97979797979798,2.0202020202020203,2.356902356902357,0.0,33.33333333333333
113,143175.0,57.44444444444444,517.0,9,53.44444444444444,481.0,4.0,36.0,4,0.0,211,17.0,93.03675048355899,6.963249516441006,0.7736943907156674,0.0,47.22222222222222
114,143224.0,30.1,301.0,10,28.5,285.0,1.6,16.0,4,0.0,133,10.0,94.6843853820598,5.3156146179401995,1.3289036544850499,0.0,62.5
115,143382.0,30.11111111111111,271.0,9,28.333333333333332,255.0,1.7777777777777777,16.0,3,0.0,59,4.0,94.0959409594096,5.904059040590406,1.107011070110701,0.0,25.0
116,143538.0,41.4,207.0,5,40.4,202.0,1.0,5.0,1,0.0,57,3.0,97.58454106280193,2.4154589371980677,0.4830917874396135,0.0,60.0
117,143651.0,55.5,555.0,10,52.3,523.0,3.2,32.0,12,3.0,217,17.0,94.23423423423424,5.7657657657657655,2.1621621621621623,9.375,53.125
118,143840.0,78.3,783.0,10,73.7,737.0,4.6,46.0,12,1.0,345,22.0,94.12515964240103,5.874840357598978,1.532567049808429,2.1739130434782608,47.82608695652174
119,144432.0,25.125,201.0,8,23.625,189.0,1.5,12.0,1,0.0,83,5.0,94.02985074626866,5.970149253731343,0.4975124378109453,0.0,41.66666666666667
120,144581.0,24.6,246.0,10,21.4,214.0,3.2,32.0,4,0.0,114,19.0,86.99186991869918,13.008130081300814,1.6260162601626018,0.0,59.375
121,144737.0,70.8,708.0,10,64.2,642.0,6.6,66.0,14,0.0,298,37.0,90.67796610169492,9.322033898305085,1.977401129943503,0.0,56.060606060606055
122,145180.0,19.3,193.0,10,18.5,185.0,0.8,8.0,4,0.0,108,4.0,95.85492227979275,4.145077720207254,2.072538860103627,0.0,50.0
123,145396.0,16.1,161.0,10,15.7,157.0,0.4,4.0,1,0.0,56,1.0,97.51552795031056,2.484472049689441,0.6211180124223602,0.0,25.0
124,145909.0,89.3,893.0,10,82.8,828.0,6.5,65.0,29,2.0,311,36.0,92.72116461366181,7.278835386338185,3.2474804031354982,3.076923076923077,55.38461538461539
125,146750.0,67.75,271.0,4,62.75,251.0,5.0,20.0,6,1.0,112,9.0,92.619926199262,7.380073800738007,2.214022140221402,5.0,45.0
126,147012.0,80.5,805.0,10,75.7,757.0,4.8,48.0,8,0.0,232,18.0,94.03726708074535,5.962732919254658,0.9937888198757764,0.0,37.5
127,147279.0,7.0,7.0,1,6.0,6.0,1.0,1.0,0,0.0,3,0.0,85.71428571428571,14.285714285714285,0.0,0.0,0.0
128,147592.0,61.0,366.0,6,59.166666666666664,355.0,1.8333333333333333,11.0,7,0.0,164,5.0,96.99453551912568,3.0054644808743167,1.912568306010929,0.0,45.45454545454545
129,147650.0,39.2,392.0,10,37.2,372.0,2.0,20.0,2,0.0,136,8.0,94.89795918367348,5.1020408163265305,0.5102040816326531,0.0,40.0
130,148155.0,106.2,1062.0,10,98.4,984.0,7.8,78.0,9,0.0,371,21.0,92.65536723163842,7.344632768361582,0.847457627118644,0.0,26.923076923076923
131,148328.0,45.3,453.0,10,41.5,415.0,3.8,38.0,12,1.0,196,17.0,91.61147902869757,8.388520971302428,2.6490066225165565,2.631578947368421,44.73684210526316
132,148385.0,35.2,352.0,10,33.7,337.0,1.5,15.0,9,3.0,154,12.0,95.73863636363636,4.261363636363636,2.556818181818182,20.0,80.0
133,148448.0,84.0,756.0,9,79.88888888888889,719.0,4.111111111111111,37.0,15,3.0,261,22.0,95.1058201058201,4.894179894179894,1.984126984126984,8.108108108108109,59.45945945945946
134,148455.0,22.7,227.0,10,20.3,203.0,2.4,24.0,2,1.0,81,13.0,89.42731277533039,10.572687224669604,0.881057268722467,4.166666666666666,54.166666666666664
135,148802.0,84.8,848.0,10,79.6,796.0,5.2,52.0,8,0.0,283,21.0,93.86792452830188,6.132075471698113,0.9433962264150944,0.0,40.38461538461539
136,149346.0,92.8,928.0,10,84.3,843.0,8.5,85.0,12,1.0,315,38.0,90.84051724137932,9.159482758620689,1.293103448275862,1.1764705882352942,44.70588235294118
137,149601.0,62.6,626.0,10,55.7,557.0,6.9,69.0,15,4.0,204,20.0,88.9776357827476,11.022364217252397,2.3961661341853033,5.797101449275362,28.985507246376812
138,150288.0,85.0,170.0,2,80.0,160.0,5.0,10.0,2,0.0,75,4.0,94.11764705882352,5.88235294117647,1.1764705882352942,0.0,40.0
139,150666.0,60.3,603.0,10,57.1,571.0,3.2,32.0,5,0.0,261,13.0,94.69320066334991,5.306799336650083,0.8291873963515755,0.0,40.625
140,150721.0,6.625,53.0,8,6.5,52.0,0.125,1.0,0,0.0,16,1.0,98.11320754716981,1.8867924528301887,0.0,0.0,100.0
141,151730.0,59.4,297.0,5,56.4,282.0,3.0,15.0,5,1.0,73,9.0,94.94949494949495,5.05050505050505,1.6835016835016834,6.666666666666667,60.0
142,152004.0,20.0,20.0,1,19.0,19.0,1.0,1.0,0,0.0,8,1.0,95.0,5.0,0.0,0.0,100.0
143,152660.0,44.5,445.0,10,40.0,400.0,4.5,45.0,3,1.0,173,16.0,89.8876404494382,10.112359550561797,0.6741573033707865,2.2222222222222223,35.55555555555556
144,152715.0,37.5,150.0,4,35.5,142.0,2.0,8.0,1,0.0,28,0.0,94.66666666666667,5.333333333333334,0.6666666666666667,0.0,0.0
145,152739.0,84.0,672.0,8,77.0,616.0,7.0,56.0,16,3.0,211,16.0,91.66666666666666,8.333333333333332,2.380952380952381,5.357142857142857,28.57142857142857
146,152851.0,45.4,454.0,10,43.7,437.0,1.7,17.0,10,1.0,175,10.0,96.25550660792952,3.7444933920704844,2.2026431718061676,5.88235294117647,58.82352941176471
147,153535.0,26.142857142857142,183.0,7,25.428571428571427,178.0,0.7142857142857143,5.0,2,0.0,86,2.0,97.26775956284153,2.73224043715847,1.092896174863388,0.0,40.0
148,153638.0,36.5,365.0,10,34.9,349.0,1.6,16.0,13,2.0,146,5.0,95.61643835616438,4.383561643835616,3.5616438356164384,12.5,31.25
149,154385.0,57.2,572.0,10,51.7,517.0,5.5,55.0,6,0.0,270,29.0,90.38461538461539,9.615384615384617,1.048951048951049,0.0,52.72727272727272
150,154590.0,11.4,114.0,10,10.0,100.0,1.4,14.0,0,0.0,54,4.0,87.71929824561403,12.280701754385964,0.0,0.0,28.57142857142857
151,154937.0,29.2,292.0,10,27.3,273.0,1.9,19.0,6,0.0,141,11.0,93.4931506849315,6.506849315068493,2.054794520547945,0.0,57.89473684210527
152,155100.0,55.1,551.0,10,52.0,520.0,3.1,31.0,12,2.0,179,11.0,94.37386569872959,5.626134301270418,2.1778584392014517,6.451612903225806,35.483870967741936
153,155494.0,113.4,1134.0,10,104.0,1040.0,9.4,94.0,7,1.0,201,19.0,91.71075837742504,8.289241622574956,0.6172839506172839,1.0638297872340425,20.212765957446805
154,155886.0,26.4,264.0,10,25.7,257.0,0.7,7.0,9,1.0,77,6.0,97.34848484848484,2.6515151515151514,3.4090909090909087,14.285714285714285,85.71428571428571
155,155950.0,46.0,460.0,10,41.5,415.0,4.5,45.0,8,1.0,194,23.0,90.21739130434783,9.782608695652174,1.7391304347826086,2.2222222222222223,51.11111111111111
