,SiteID,total_year_sum,total_year_avg,num_of_years,Year_sum_Firstop,Year_avg_Firstop,Year_avg_reop,Year_sum_reop,Mortality,Mortality_reop,Complics,Complics_reop,firstop/total,reop/total,mortalty_rate,mortalty_reop_rate,Complics_reop_rate
45,145224,1204.0,120.4,10,1159.0,115.9,4.5,45.0,9,1.0,474,20.0,96.2624584717608,3.737541528239203,0.7475083056478405,2.2222222222222223,44.44444444444444
46,145269,739.0,73.9,10,674.0,67.4,6.5,65.0,6,2.0,292,28.0,91.2043301759134,8.795669824086604,0.8119079837618403,3.076923076923077,43.07692307692308
47,145570,1001.0,100.1,10,958.0,95.8,4.3,43.0,10,0.0,394,18.0,95.7042957042957,4.295704295704296,0.999000999000999,0.0,41.86046511627907
48,147711,862.0,86.2,10,833.0,83.3,2.9,29.0,4,1.0,312,12.0,96.63573085846868,3.3642691415313224,0.46403712296983757,3.4482758620689653,41.37931034482759
49,149864,308.0,30.8,10,296.0,29.6,1.2,12.0,2,0.0,142,7.0,96.1038961038961,3.896103896103896,0.6493506493506493,0.0,58.333333333333336
50,151721,3451.0,345.1,10,3162.0,316.2,28.9,289.0,34,8.0,1319,112.0,91.62561576354679,8.374384236453201,0.9852216748768473,2.768166089965398,38.75432525951557
51,152067,1131.0,113.1,10,1037.0,103.7,9.4,94.0,21,7.0,451,47.0,91.68877099911583,8.311229000884174,1.8567639257294428,7.446808510638298,50.0
52,155656,760.0,76.0,10,724.0,72.4,3.6,36.0,4,0.0,266,15.0,95.26315789473684,4.736842105263158,0.5263157894736842,0.0,41.66666666666667
53,157650,1717.0,171.7,10,1549.0,154.9,16.8,168.0,22,2.0,895,89.0,90.21549213744903,9.78450786255096,1.28130460104834,1.1904761904761905,52.976190476190474
54,158416,99.0,49.5,2,96.0,48.0,1.5,3.0,1,0.0,37,1.0,96.96969696969697,3.0303030303030303,1.0101010101010102,0.0,33.33333333333333
55,158924,1343.0,134.3,10,1269.0,126.9,7.4,74.0,11,0.0,393,13.0,94.48994787788533,5.5100521221146685,0.8190618019359642,0.0,17.56756756756757
56,159760,622.0,62.2,10,602.0,60.2,2.0,20.0,12,1.0,243,7.0,96.78456591639872,3.215434083601286,1.929260450160772,5.0,35.0
57,160432,62.0,31.0,2,59.0,29.5,1.5,3.0,1,0.0,23,1.0,95.16129032258065,4.838709677419355,1.6129032258064515,0.0,33.33333333333333
58,160612,850.0,85.0,10,799.0,79.9,5.1,51.0,3,1.0,290,23.0,94.0,6.0,0.35294117647058826,1.9607843137254901,45.09803921568628
59,160991,806.0,80.6,10,775.0,77.5,3.1,31.0,31,2.0,290,14.0,96.15384615384616,3.8461538461538463,3.8461538461538463,6.451612903225806,45.16129032258064
60,161027,3732.0,373.2,10,3505.0,350.5,22.7,227.0,34,2.0,1999,143.0,93.91747052518757,6.082529474812433,0.9110396570203645,0.881057268722467,62.99559471365639
61,162176,306.0,30.6,10,299.0,29.9,0.7,7.0,5,1.0,60,2.0,97.7124183006536,2.287581699346405,1.6339869281045754,14.285714285714285,28.57142857142857
62,162441,721.0,72.1,10,646.0,64.6,7.5,75.0,8,2.0,282,29.0,89.59778085991678,10.402219140083217,1.1095700416088765,2.666666666666667,38.666666666666664
63,162890,149.0,18.625,8,140.0,17.5,1.125,9.0,8,3.0,84,3.0,93.95973154362416,6.0402684563758395,5.369127516778524,33.33333333333333,33.33333333333333
64,163950,754.0,75.4,10,714.0,71.4,4.0,40.0,14,0.0,330,21.0,94.6949602122016,5.305039787798409,1.8567639257294428,0.0,52.5
65,163978,2022.0,202.2,10,1930.0,193.0,9.2,92.0,15,1.0,653,23.0,95.45004945598417,4.549950544015826,0.741839762611276,1.0869565217391304,25.0
66,164242,1404.0,140.4,10,1328.0,132.8,7.6,76.0,27,4.0,627,41.0,94.58689458689459,5.413105413105413,1.9230769230769231,5.263157894736842,53.94736842105263
67,164777,1127.0,112.7,10,1045.0,104.5,8.2,82.0,14,2.0,397,40.0,92.7240461401952,7.275953859804791,1.2422360248447204,2.4390243902439024,48.78048780487805
68,164860,3113.0,311.3,10,2942.0,294.2,17.1,171.0,46,5.0,1059,56.0,94.5069065210408,5.493093478959203,1.4776742691937037,2.923976608187134,32.748538011695906
69,165468,1694.0,169.4,10,1645.0,164.5,4.9,49.0,40,3.0,622,24.0,97.10743801652893,2.8925619834710745,2.3612750885478158,6.122448979591836,48.97959183673469
70,166100,2362.0,236.2,10,2263.0,226.3,9.9,99.0,46,2.0,1152,49.0,95.80863674851821,4.191363251481795,1.947502116850127,2.0202020202020203,49.494949494949495
